year,length_mm,width_mm,depth_mm,wheel_base,battery_capacity_avg,range_CLTC_avg,seats,brand_group_encoded,brand_category_encoded,powertrain_插混,powertrain_燃油,powertrain_纯电,ADAS_Level_L2,ADAS_Level_L2+,battery_type_clean_LFP,battery_type_clean_NCM,battery_type_clean_Other,battery_type_clean_Unknown,battery_supplier_clean_CATL,battery_supplier_clean_Other,body_type_SUV,body_type_other,body_type_轿车,size_large,size_medium,size_micro,size_other,size_small
2025,4830,1900.0,1495,2790.0,58.15,507.5,5,3.027027821700188,2.6634079170556793,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
2022,4875,1960.0,1690,2915.0,39.67,189.5,5,3.0976896923951696,3.6652144182541018,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
2026,4970,1940.0,1460,2950.0,85.5,700.0,5,3.424367008964497,3.1959619909384864,False,False,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False
2017,4680,1810.0,1680,2785.0,22.45,142.5,7,3.027027821700188,2.6634079170556793,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,4785,1852.0,1448,2856.0,105.2,601.0,5,3.984151644653932,3.6650119113095108,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False
2021,4630,1910.0,1655,2830.0,70.1,510.0,5,3.0976896923951696,2.6634079170556793,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
2021,4694,1861.0,1679,2660.0,59.3333333333333,442.523334055767,5,3.057032760779528,3.17871221731275,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False
2023,4956,1862.0,1537,2965.0,84.8,606.0,5,3.134842315453931,3.17871221731275,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
2022,4684,1834.0,1700,2829.0,73.5,568.5,7,3.0976896923951696,3.6650119113095108,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
2021,4730,1880.0,1613,2984.0,88.0,492.0,5,3.0976896923951696,3.17871221731275,False,False,True,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False
2026,5290,1980.0,1780,3160.0,97.9,675.0,7,3.197676686485871,3.1959619909384864,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
2022,5080,1995.0,1800,3005.0,40.9,210.0,6,3.6323883145124656,3.1959619909384864,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False
2024,4720,1880.0,1495,2820.0,62.855,572.5,5,3.027027821700188,2.6634079170556793,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False
2024,4765,1900.0,1600,2765.0,22.45,165.0,5,3.027027821700188,2.6634079170556793,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2021,4810,1880.0,1515,2750.0,59.7666666666667,507.333333333333,5,3.0976896923951696,2.8964051774756765,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
2024,5450,2050.0,1930,3180.0,140.0,1000.0,5,3.027027821700188,3.6652144182541018,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False
2024,4765,1900.0,1600,2765.0,79.42,605.0,5,3.027027821700188,2.6634079170556793,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2022,3270,1700.0,1545,1980.0,19.5333333333333,223.333333333333,4,2.3626704134875314,2.6634079170556793,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
2021,4905,1950.0,1660,2960.0,38.0,140.0,5,3.0976896923951696,3.6652144182541018,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False
2022,5080,1945.0,1760,3030.0,53.4,320.0,6,3.0976896923951696,3.6652144182541018,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False
2022,4668,1890.0,1730,2745.0,34.0,169.5,5,3.0976896923951696,3.6652144182541018,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
2024,4830,1900.0,1495,2790.0,12.975,100.0,5,3.027027821700188,2.6634079170556793,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
2022,4810,1880.0,1640,2800.0,65.0,547.5,5,3.0976896923951696,3.1959619909384864,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
2022,4388,1790.0,1560,2610.0,61.2,465.0,5,3.057032760779528,3.17871221731275,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
2022,4270,1822.0,1636,2750.0,66.0,547.5,5,3.0976896923951696,3.6650119113095108,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
2023,4690,1892.0,1650,2775.0,59.215,527.5,5,3.0976896923951696,2.8964051774756765,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2022,5098,1987.0,1505,3094.0,106.666666666667,733.333333333333,5,3.0976896923951696,3.1959619909384864,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False
2022,4820,1890.0,1480,2900.0,25.0,200.0,5,3.0976896923951696,2.8964051774756765,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False
2023,4400,1844.0,1556,2785.0,66.0,585.0,5,3.0976896923951696,3.6650119113095108,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
2024,4880,1920.0,1750,2820.0,22.45,167.5,5,3.027027821700188,2.6634079170556793,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False
2022,5050,1995.0,1750,3005.0,93.0,87.5,6,3.6323883145124656,3.1959619909384864,False,False,True,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False
2022,5260,1900.0,1830,3120.0,83.0,527.333333333333,5,3.0976896923951696,2.8964051774756765,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
2021,4876,1848.0,1680,2956.0,72.7,511.333333333333,6,3.134842315453931,3.17871221731275,False,False,True,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False
2021,4808,1840.0,1520,2768.0,64.5,536.666666666667,5,3.197676686485871,3.1959619909384864,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2023,4820,1915.0,1685,2848.0,30.4,182.5,5,3.0976896923951696,3.6652144182541018,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False
2021,4718,1838.0,1535,2810.0,58.5,457.5,5,2.8057939001126773,3.1959619909384864,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
2021,4752,1804.0,1503,2700.0,61.5,515.0,5,3.0976896923951696,2.8964051774756765,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
2022,4006,1765.0,1550,2485.0,36.45,360.5,5,3.0976896923951696,2.8964051774756765,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
2022,4980,1980.0,1450,2980.0,35.0,200.0,5,3.0976896923951696,3.1959619909384864,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False
2021,4780,1837.0,1495,2718.0,22.45,160.0,5,3.027027821700188,2.6634079170556793,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
2024,3860,1670.0,1530,2460.0,36.875,380.0,4,3.0976896923951696,2.6634079170556793,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True
2021,3288,1670.0,1654,2185.0,38.54,410.0,4,3.0976896923951696,2.6634079170556793,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False
2022,4695,1890.0,1545,2900.0,77.4,671.0,5,3.0976896923951696,3.17871221731275,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
2021,3650,1670.0,1540,2390.0,21.6333333333333,228.0,4,3.0976896923951696,2.6634079170556793,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
2021,4005,1760.0,1575,2450.0,37.23,322.0,5,2.8057939001126773,3.1959619909384864,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
2022,4718,1880.0,1530,2750.0,64.35,545.0,5,3.0976896923951696,3.17871221731275,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
2021,4612,1852.0,1640,2765.0,68.05,521.5,5,3.134842315453931,3.17871221731275,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
